Motif	Profile aln score	Matching bp count	Z-score	
1S72_0:1147-1154_1213-1216	122.27	5	2.56
1S72_0:77-81_93-100	116.44	5	2.34
1S72_0:1587-1592_1602-1608	86.32	4	1.2
1S72_0:1312-1319_1338-1342	86.19	4	1.2
1S72_0:937-940_1026-1033	78.68	3	0.91
1S72_0:21-26_517-522	72.72	3	0.69
1S72_0:794-798_815-819	72.72	3	0.69
1S72_0:1764-1769_1774-1780	72.56	3	0.68
1S72_0:210-216_224-229	51.53	3	-0.11
1S72_0:1570-1574_1622-1627	51.5	3	-0.11
1S72_0:1367-1373_2052-2057	51.46	3	-0.12
1S72_0:2689-2695_2700-2705	51.46	3	-0.12
1S72_0:1542-1546_1639-1643	51.26	3	-0.12
1S72_0:2672-2676_2809-2817	48.6	2	-0.22
1S72_0:2724-2728_2754-2758	48.55	2	-0.23
1S72_0:2502-2505_2515-2518	48.54	2	-0.23
1S72_0:2873-2876_2881-2884	48.54	2	-0.23
1S72_0:487-490_502-515	48.11	2	-0.24
1S72_0:705-709_719-723	39.54	3	-0.57
1S72_0:2864-2869_2888-2892	31.58	3	-0.87
1S72_0:567-571_586-591	30.63	3	-0.9
1S72_0:291-295_356-361	30.5	3	-0.91
1S72_0:158-163_172-178	30.49	3	-0.91
1S72_0:952-956_1011-1015	30.41	3	-0.91
1S72_0:1854-1859_1870-1877	30.4	3	-0.91
1S72_0:1578-1582_1613-1618	30.35	3	-0.91
1S72_0:1095-1099_1257-1261	27.69	2	-1.01
1S72_0:2773-2777_2797-2801	27.69	2	-1.01
1S72_0:1521-1529_1662-1665	27.59	2	-1.02
1S72_0:1456-1460_1483-1489	27.58	2	-1.02
1S72_0:663-667_679-683	27.54	2	-1.02
1S72_0:563-567_591-594	24.59	1	-1.13
1S72_0:2331-2333_2351-2355	24.55	1	-1.13
1S72_0:1907-1912_1927-1932	24.51	1	-1.13
1S72_0:2122-2124_2269-2272	24.37	1	-1.14
1S72_0:284-286_366-367	24.31	1	-1.14
1S72_0:1728-1734_2045-2047	24.26	1	-1.14
1S72_0:280-284_367-369	23.85	1	-1.16
1S72_0:1975-1986_2002-2005	13.86	1	-1.54
1S72_0:245-248_265-266	12.31	1	-1.59
1S72_0:2557-2558_2575-2578	12.3	1	-1.6
1S72_0:1744-1747_2034-2035	12.06	1	-1.6
1S72_0:1191-1194_1205-1206	11.92	1	-1.61
1S72_0:1115-1121_1243-1248	10.22	3	-1.67
1S72_0:2492-2495_2525-2529	9.03	3	-1.72
1S72_0:958-963_1005-1008	6.37	2	-1.82
1S72_0:765-769_892-899	6.33	2	-1.82
1S72_0:1425-1429_1437-1439	6.1	2	-1.83
1S72_0:2717-2721_2761-2763	6.0	2	-1.83
1S72_0:2092-2094_2651-2652	5.97	2	-1.83
1S72_0:248-249_260-265	3.36	1	-1.93
1S72_0:40-41_440-442	3.27	1	-1.94
1S72_0:1741-1743_2036-2038	3.16	1	-1.94
1S72_0:1101-1108_1254-1255	3.15	1	-1.94
1S72_0:1902-1905_1934-1935	3.13	1	-1.94
1S72_0:929-931_1039-1041	3.11	1	-1.94
1S72_0:2111-2112_2473-2476	3.07	1	-1.94
1S72_0:2489-2490_2531-2533	2.98	1	-1.95
1S72_0:956-957_1009-1011	2.94	1	-1.95
1S72_0:830-832_850-851	2.71	1	-1.96
