Motif	Profile aln score	Matching bp count	Z-score	
1S72_0:1367-1373_2052-2057	127.71	5	1.05
1S72_0:210-216_224-229	127.71	5	1.05
1S72_0:2689-2695_2700-2705	127.71	5	1.05
1S72_0:158-163_172-178	103.57	4	0.51
1S72_0:291-295_356-361	103.23	4	0.5
1S72_0:567-571_586-591	103.23	4	0.5
1S72_0:952-956_1011-1015	79.28	3	-0.04
1S72_0:1764-1769_1774-1780	75.79	4	-0.12
1S72_0:1570-1574_1622-1627	73.37	3	-0.17
1S72_0:1542-1546_1639-1643	72.72	3	-0.18
1S72_0:21-26_517-522	52.26	3	-0.64
1S72_0:794-798_815-819	52.07	3	-0.65
1S72_0:1312-1319_1338-1342	51.93	3	-0.65
1S72_0:1587-1592_1602-1608	51.93	3	-0.65
1S72_0:77-81_93-100	51.92	3	-0.65
1S72_0:2672-2676_2809-2817	51.47	3	-0.66
1S72_0:2773-2777_2797-2801	49.27	2	-0.71
1S72_0:1456-1460_1483-1489	49.15	2	-0.71
1S72_0:1095-1099_1257-1261	49.02	2	-0.72
1S72_0:1521-1529_1662-1665	48.97	2	-0.72
1S72_0:2724-2728_2754-2758	48.92	2	-0.72
1S72_0:937-940_1026-1033	48.8	2	-0.72
1S72_0:663-667_679-683	48.77	2	-0.72
1S72_0:2502-2505_2515-2518	48.74	2	-0.72
1S72_0:1147-1154_1213-1216	48.68	2	-0.72
1S72_0:705-709_719-723	48.62	3	-0.73
1S72_0:2873-2876_2881-2884	48.56	2	-0.73
1S72_0:1578-1582_1613-1618	37.08	2	-0.98
1S72_0:2864-2869_2888-2892	36.58	2	-1.0
1S72_0:1115-1121_1243-1248	30.77	3	-1.13
1S72_0:487-490_502-515	30.49	3	-1.13
1S72_0:2492-2495_2525-2529	30.03	3	-1.14
1S72_0:1854-1859_1870-1877	28.11	2	-1.19
1S72_0:958-963_1005-1008	27.6	2	-1.2
1S72_0:1425-1429_1437-1439	27.3	2	-1.2
1S72_0:2717-2721_2761-2763	27.3	2	-1.2
1S72_0:2092-2094_2651-2652	26.7	2	-1.22
1S72_0:1907-1912_1927-1932	25.0	1	-1.26
1S72_0:563-567_591-594	24.94	1	-1.26
1S72_0:2331-2333_2351-2355	24.86	1	-1.26
1S72_0:1902-1905_1934-1935	24.73	1	-1.26
1S72_0:2489-2490_2531-2533	24.59	1	-1.27
1S72_0:2111-2112_2473-2476	24.51	1	-1.27
1S72_0:248-249_260-265	24.44	1	-1.27
1S72_0:1728-1734_2045-2047	24.41	1	-1.27
1S72_0:1101-1108_1254-1255	24.32	1	-1.27
1S72_0:2122-2124_2269-2272	24.21	1	-1.27
1S72_0:956-957_1009-1011	24.19	1	-1.27
1S72_0:245-248_265-266	24.17	1	-1.27
1S72_0:284-286_366-367	24.17	1	-1.27
1S72_0:40-41_440-442	24.07	1	-1.28
1S72_0:830-832_850-851	24.05	1	-1.28
1S72_0:1191-1194_1205-1206	24.03	1	-1.28
1S72_0:280-284_367-369	23.94	1	-1.28
1S72_0:765-769_892-899	15.69	2	-1.47
1S72_0:1744-1747_2034-2035	12.67	1	-1.53
1S72_0:2557-2558_2575-2578	12.54	1	-1.54
1S72_0:1975-1986_2002-2005	12.53	1	-1.54
1S72_0:929-931_1039-1041	12.23	1	-1.54
1S72_0:1741-1743_2036-2038	3.54	1	-1.74
